"Title","Company","Location","city","state"
"Data Scientist","Berico Technologies","Gaithersburg, MD","Gaithersburg","MD"
"Data Scientist","6sense","San Francisco, CA","San Francisco","CA"
"Principal Data Scientist","Capital One","Plano, TX","Plano","TX"
"Senior Data Scientist","HealthTap","Palo Alto, CA","Palo Alto","CA"
"Data Scientist","Riot Games","Santa Monica, CA","Santa Monica","CA"
"Data Scientist","Infer","Palo Alto, CA","Palo Alto","CA"
"Data Scientist","PlaceIQ","New York, NY","New York","NY"
"Sr. Data Scientist","YuMe","Redwood City, CA","Redwood City","CA"
"Digital Data Scientist, PM","All-In Analytics","Modesto, CA","Modesto","CA"
"Director, Data Scientist","Numeric Recruiting and Staffing","New York, NY","New York","NY"
"Data Scientist","Open Systems Technologies","New York, NY","New York","NY"
"Data Scientist, Healthcare (Starting Summer 2018)","The Advisory Board Company","Washington, DC","Washington","DC"
"Data Scientist","Stitch Fix","San Francisco, CA","San Francisco","CA"
"Genomic Data Scientist-UIUC Innovation Center","Monsanto","Urbana, IL","Urbana","IL"
"Data Scientist","WeWork","New York, NY","New York","NY"
"Data Scientist - Sunnyvale, CA","Redolentech","Sunnyvale, CA","Sunnyvale","CA"
"Senior Data Scientist","Enigma","New York, NY","New York","NY"
"Research Engineer / Data Scientist","Lancope","Anywhere, GA","Anywhere","GA"
"Data Scientist II","Expedia","Bellevue, WA","Bellevue","WA"
"Sr. Data Scientist","Expedia","Bellevue, WA","Bellevue","WA"
"Data Scientist  (OH, Cleveland)","AmTrust Financial Services, Inc.","Cleveland, OH","Cleveland","OH"
"Senior Data Scientist","Lattice Engines","San Mateo, CA","San Mateo","CA"
"SRE Data Scientist","Apple, Inc","Santa Clara Valley, CA","Santa Clara Valley","CA"
"Data Scientist - Arlington, VA","Seneca Resources","Arlington, VA","Arlington","VA"
"Data Scientist","Quora","Mountain View, CA","Mountain View","CA"
"Data Scientist (R and Python) - Herndon, VA","Turas Group","Herndon, VA","Herndon","VA"
"Data Scientist","Advantis Global","Sunnyvale, CA","Sunnyvale","CA"
"Senior Data Scientist","Dotdash","New York, NY","New York","NY"
"Principal Data Scientist, Enterprise Customer Intelligence","Capital One","Arlington, VA","Arlington","VA"
"Workforce Analytics - Data Scientist Principal Job (Bethesda, MD, US)","SAIC","Bethesda, MD","Bethesda","MD"
"Data Scientist/Sr. Data Scientist, Analytical Insights - Marketing Analytics","marketshare","New York, NY","New York","NY"
"Data Scientist","Stitchfix","San Francisco, CA","San Francisco","CA"
"Data Scientist","Sonsoft Inc","Plano, TX","Plano","TX"
"Data Scientist/ Product Analyst","Bachrach","New York, NY","New York","NY"
"Data Scientist--------Need GC and USC","USM Business Systems Inc","Orlando, FL","Orlando","FL"
"Lead Healthcare Data Scientist","Aetna Inc.","Wellesley, MA","Wellesley","MA"
"Data Scientist","Johns Hopkins Applied Physics Laboratory","Laurel, MD","Laurel","MD"
"Data Scientist III","Technical and Management Resources, Inc.","Washington, DC","Washington","DC"
"Data Scientist","CIA","Washington, DC","Washington","DC"
"Sr. Data Scientist","Bold","San Francisco, CA","San Francisco","CA"
"Data Scientist","Kemper","Chicago, IL","Chicago","IL"
"Data Scientist","Connolly","Atlanta, GA","Atlanta","GA"
"Advanced Analytics Data Scientist","IBM","SPRINGFIELD, VA","SPRINGFIELD","VA"
"Data Scientist","comScore, Inc","Portland, OR","Portland","OR"
"Data Scientist","Lorven Technologies, Inc","Atlanta, GA","Atlanta","GA"
"Data Scientist/Statistician II - Seattle, Washington","NHR Global","Seattle, WA","Seattle","WA"
"Senior Data Scientist","Kemper","Chicago, IL","Chicago","IL"
"Data Scientist","Xad","Mountain View, CA","Mountain View","CA"
"Data Scientist","Texas Instruments Incorporated","Dallas, TX","Dallas","TX"
"Data Scientist Job (Alexandria, VA, US)","SAIC","Alexandria, VA","Alexandria","VA"
"Principal Data Scientist - Healthcare","Coventry Health Care, Inc.","New York, NY","New York","NY"
"Staff Data Scientist (658511)","Ball Corporation","Tampa, FL","Tampa","FL"
"Data Scientist","Polaris Industries Inc","Minneapolis, MN","Minneapolis","MN"
"Digital Data Scientist","General Mills Inc.","Minneapolis, MN","Minneapolis","MN"
"Lead Data Scientist","Infosys","Sunnyvale, CA","Sunnyvale","CA"
"Data Scientist","[24]7 Inc.","Campbell, CA","Campbell","CA"
"Data Scientist / Research Statistician","MONSANTO COMPANY","Missouri, TX","Missouri","TX"
"Senior Data Scientist","JEGS","Norwalk, CT","Norwalk","CT"
"Senior Data Scientist, Big Data Products","Asurion","San Mateo, CA","San Mateo","CA"
"Data Scientist","MoLabs","New York, NY","New York","NY"
"Data Scientist","MDA Information Systems LLC","Washington DC Metro, DC","Washington DC Metro","DC"
"Data Scientist","Mattel, Inc.","El Segundo, CA","El Segundo","CA"
"Data Scientist","Bose","Framingham, MA","Framingham","MA"
"Sr. Analyst, Data Scientist","Aarons Inc.","Chicago, IL","Chicago","IL"
"Data Scientist/Analyst, Sr.","cohesion","Baltimore Metro Area, MD","Baltimore Metro Area","MD"
"Data Scientist","Barings Corporate","Boston, MA","Boston","MA"
"Data Scientist - Mixed Media Modeling","J Crew","New York, NY","New York","NY"
"Data Scientist","Verizon Communications","Alpharetta, GA","Alpharetta","GA"
"Sr. Data Scientist - New York City, NY","Forcepoint","New York City, NY","New York City","NY"
"Data Scientist / Product Architect","Garmin International, Inc.","Olathe, KS","Olathe","KS"
"GEOINT Analyst (Data Science) **Pay Band 03/04/05**","National Security Agency (NSA)","Springfield, VA;St Louis, MD","St Louis","MD"
"Data Analyst **Pay Band 03/04**","National Security Agency (NSA)","Springfield, VA;St Louis, MD","St Louis","MD"
