"Title","Company","Location","city","state"
"Senior Product Manager, NLP (Natural Language Processing) Core Department","UPMC Presbyterian Shadyside","Pittsburgh, PA","Pittsburgh","PA"
"Software Developer Intern Online Hiring Event This Thursday","Honeywell","Atlanta, GA","Atlanta","GA"
"DIRECTOR OF MARKETING ANALYTICS","Cottonwood Financial","Irving, TX","Irving","TX"
"Senior Cloud Architect","Primary Search Management","Jersey City, NJ","Jersey City","NJ"
"Data Scientist","Collabera","Atlanta, GA","Atlanta","GA"
"Director, Fraud and Analytics","Howard Systems International","Manhattan, NY","Manhattan","NY"
"Pharmaceutical System Analyst","Real Soft, Inc.","Marlborough, MA","Marlborough","MA"
"Senior Data Scientist (Security Clearance Required)","Hired","Stevenson, MD","Stevenson","MD"
"Senior Data Scientist (Security Clearance Required)","Hired","Southern Md Facility, MD","Southern Md Facility","MD"
"Senior Data Scientist (Security Clearance Required)","Hired","Fallston, MD","Fallston","MD"
"Sr Manager Insights & Data Strategy","Brainworks","Oakland, CA","Oakland","CA"
"SENIOR PERFORMANCE MANAGER","Washington State Office of the Governor","Olympia, WA","Olympia","WA"
"Senior Data Scientist (Security Clearance Required)","Hired","Laurel, MD","Laurel","MD"
"Data Scientist","Randstad Technologies","Northbrook, IL","Northbrook","IL"
"Assistant Data Scientist (15243B)","University Of Utah","Salt Lake City, UT","Salt Lake City","UT"
"SENIOR DATA SCIENTIST - Predictive Modeling","The Judge Group, Inc.","Creve Coeur, MO","Creve Coeur","MO"
"Data Design & Architecture","BizTek People, Inc.","Beaverton, OR","Beaverton","OR"
"Data Scientist","The Judge Group, Inc.","Hopewell, NJ","Hopewell","NJ"
"Senior Front End Engineer","Mastech","Magalia, CA","Magalia","CA"
"Big Data Engineer","Intelliswift Software","Mountain View, CA","Mountain View","CA"
"Incident Platform Product Manager","AMS Staffing, Inc.","Houston, TX","Houston","TX"
"BI Developer","Vaco - Nashville","Brentwood, TN","Brentwood","TN"
"Senior Data Scientist with Operations Research","The Judge Group, Inc.","Creve Coeur, MO","Creve Coeur","MO"
"Business/Data Analyst","Whiteline Express","Plymouth, MI","Plymouth","MI"
"Research Scientist, Advanced Analytics","Hitachi America, Ltd.","Santa Clara, CA","Santa Clara","CA"
"Data Scientist","Randstad Technologies","Tampa, FL","Tampa","FL"
"Senior Software Developer","Altamira Technologies","Fairborn, OH","Fairborn","OH"
"Sr Data Analyst","Laureate Education, Inc.","Columbia, MD","Columbia","MD"
